Guarantee Number,Transaction Report ID,Guarantee Country Name,Amount (USD),Currency Name,End Date,Business Sector,City/Town,State/Province/Region Name,State/Province/Region Code,State/Province/Region Country Name,Region Name,Latitude,Longitude,Is Woman Owned?,Is First Time Borrower?,Business Size
674-DCA-11-016,500383,South Africa,168738.8988,SOUTH AFRICA - RAND,12/30/2019,Other Service,Cape Town,Western Cape,SF11,South Africa,AFRICA,-33.925839,18.423218,0,1,11--50
674-DCA-11-016,500395,South Africa,23344.285,SOUTH AFRICA - RAND,1/20/2020,Education,Durban,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.857896,31.029198,1,1,1--5
674-DCA-11-016,501487,South Africa,129690.4721,SOUTH AFRICA - RAND,12/15/2019,Other Service,Durban,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.857896,31.029198,0,1,11--50
674-DCA-11-016,506783,South Africa,64412.9345,SOUTH AFRICA - RAND,3/1/2020,Other Service,Cape Town,Western Cape,SF11,South Africa,AFRICA,-33.925839,18.423218,0,1,6--10
674-DCA-11-016,501489,South Africa,121044.4406,SOUTH AFRICA - RAND,9/15/2015,Other Service,Uitenhage,Eastern Cape,SF05,South Africa,AFRICA,-33.75757,25.397099,0,1,6--10
674-DCA-11-016,501745,South Africa,184721.3842,SOUTH AFRICA - RAND,5/1/2020,Transportation,Limpopo,Limpopo,SF09,South Africa,AFRICA,,,0,1,11--50
674-DCA-11-016,506707,South Africa,160537.3085,SOUTH AFRICA - RAND,4/1/2020,Manufacturing,Pietermaritzburg,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.616785,30.39278,1,1,11--50
674-DCA-11-016,506709,South Africa,155149.8075,SOUTH AFRICA - RAND,5/7/2020,Other Service,Mellville ,Gauteng,SF06,South Africa,AFRICA,,,0,1,6--10
674-DCA-11-016,514607,South Africa,102383.4876,SOUTH AFRICA - RAND,5/15/2020,Transportation,Vryheid,KwaZulu-Natal,SF02,South Africa,AFRICA,-27.76952,30.791653,0,1,6--10
674-DCA-11-016,501488,South Africa,40953.395,SOUTH AFRICA - RAND,3/30/2020,Other Service,Port Elizabeth,Eastern Cape,SF05,South Africa,AFRICA,-33.917988,25.570066,0,1,6--10
674-DCA-11-016,506708,South Africa,36858.0555,SOUTH AFRICA - RAND,5/30/2019,Other Service,Port Elizabeth,Eastern Cape,SF05,South Africa,AFRICA,-33.917988,25.570066,1,1,11--50
674-DCA-11-016,501492,South Africa,26210.1728,SOUTH AFRICA - RAND,3/30/2020,Other Service,Durban,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.857896,31.029198,1,1,1--5
674-DCA-11-016,501661,South Africa,131050.8641,SOUTH AFRICA - RAND,4/7/2020,Other Service,Gauteng,Gauteng,SF06,South Africa,AFRICA,,,0,1,1--5
674-DCA-11-016,514612,South Africa,233434.3517,SOUTH AFRICA - RAND,7/25/2020,Other Service,Durban,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.857896,31.029198,1,1,6--10
674-DCA-11-016,514610,South Africa,48995.5904,SOUTH AFRICA - RAND,7/31/2020,Trade/Commerce,Jeffreys Bay,Eastern Cape,SF05,South Africa,AFRICA,,,0,1,1--5
674-DCA-11-016,514611,South Africa,53078.5563,SOUTH AFRICA - RAND,7/11/2020,Other Service,Bellville,Western Cape,SF11,South Africa,AFRICA,-33.900219,18.628468,0,1,11--50
674-DCA-11-016,515813,South Africa,367466.928,SOUTH AFRICA - RAND,7/22/2020,Manufacturing,Johannesburg,Gauteng,SF06,South Africa,AFRICA,,,0,1,11--50
