Guarantee Number,Transaction Report ID,Guarantee Country Name,Amount (USD),Currency Name,End Date,Business Sector,City/Town,State/Province/Region Name,State/Province/Region Code,State/Province/Region Country Name,Region Name,Latitude,Longitude,Is Woman Owned?,Is First Time Borrower?,Business Size 
DCA-LA-440-006-03-001,234223,Vietnam,12485.9533,VIETNAM - DONG,9/12/2008,,Ho Chi Minh City,Ho Chi Minh,VM20,Vietnam,ASIA,10.75,106.666667,0,0,
DCA-LA-440-006-03-001,239826,Vietnam,37457.8599,VIETNAM - DONG,10/31/2007,,Ho Chi Minh City,Ho Chi Minh,VM20,Vietnam,ASIA,10.75,106.666667,0,0,
DCA-LA-440-006-03-001,239827,Vietnam,93644.6498,VIETNAM - DONG,11/2/2007,,,,,,,,,0,0,
DCA-LA-440-006-03-001,239825,Vietnam,12485.9533,VIETNAM - DONG,11/11/2007,,,,,,,,,0,0,
DCA-LA-440-006-03-001,234542,Vietnam,187289.2995,VIETNAM - DONG,9/12/2008,,Tau,Kien Giang,VM21,Vietnam,ASIA,9.383333,105,0,0,
DCA-LA-440-006-03-001,242884,Vietnam,12485.9533,VIETNAM - DONG,9/12/2008,,Ho Chi Minh City,Ho Chi Minh,VM20,Vietnam,ASIA,10.75,106.666667,0,0,
DCA-LA-440-006-03-001,243814,Vietnam,62429.7665,VIETNAM - DONG,9/12/2008,,Ho Chi Minh City,Ho Chi Minh,VM20,Vietnam,ASIA,10.75,106.666667,0,0,
DCA-LA-440-006-03-001,243734,Vietnam,267779.3,VIETNAM - DONG,8/1/2008,,,,,,,,,0,0,
DCA-LA-440-006-03-001,244118,Vietnam,124548.5116,VIETNAM - DONG,9/12/2008,,Ho Chi Minh City,Ho Chi Minh,VM20,Vietnam,ASIA,10.75,106.666667,0,0,
DCA-LA-440-006-03-001,244119,Vietnam,43591.9791,VIETNAM - DONG,9/12/2008,,Ho Chi Minh City,Ho Chi Minh,VM20,Vietnam,ASIA,10.75,106.666667,0,0,
DCA-LA-440-006-03-001,244773,Vietnam,23735.1655,VIETNAM - DONG,4/12/2008,,,,,,,,,0,0,
DCA-LA-440-006-03-001,244176,Vietnam,93691.4428,VIETNAM - DONG,9/12/2008,,Ho Chi Minh City,Ho Chi Minh,VM20,Vietnam,ASIA,10.75,106.666667,0,0,
DCA-LA-440-006-03-001,253045,Vietnam,84472.2049,VIETNAM - DONG,4/17/2008,,,,,,,,,0,0,
DCA-LA-440-006-03-001,244774,Vietnam,43722.6733,VIETNAM - DONG,9/12/2008,,Ho Chi Minh City,Ho Chi Minh,VM20,Vietnam,ASIA,10.75,106.666667,0,0,
DCA-LA-440-006-03-001,252975,Vietnam,37476.5771,VIETNAM - DONG,9/12/2008,,Tau,Kien Giang,VM21,Vietnam,ASIA,9.383333,105,0,0,
DCA-LA-440-006-03-001,253046,Vietnam,54341.0369,VIETNAM - DONG,9/12/2008,,,,,,,,,0,0,
DCA-LA-440-006-03-001,253120,Vietnam,231105.559,VIETNAM - DONG,9/12/2008,,,,,,,,,0,0,
DCA-LA-440-006-03-002  (Terminated),234017,Vietnam,3519.0849,VIETNAM - DONG,9/15/2011,,,,,,,,,0,0,
DCA-LA-440-006-03-002  (Terminated),234016,Vietnam,2735.8195,VIETNAM - DONG,9/15/2009,,,,,,,,,0,0,
625-DCA-13-001,465911,Niger,51447.7394,NIGER - CFA FRANC,9/23/2016,Agriculture,TILLABERY,Tillaberi,NG09,Niger,AFRICA,,,0,1,11--50
625-DCA-13-001,465904,Niger,30868.6436,NIGER - CFA FRANC,8/23/2016,Agriculture,MAGARIA,Zinder,NG07,Niger,AFRICA,,,0,0,11--50
625-DCA-13-001,465903,Niger,105263.1579,NIGER - CFA FRANC,2/14/2017,Agriculture,MARADI,Maradi,NG04,Niger,AFRICA,,,0,1,51--100
625-DCA-13-001,465909,Niger,42105.2632,NIGER - CFA FRANC,3/2/2017,Agriculture,MARADI,Maradi,NG04,Niger,AFRICA,,,0,0,11--50
625-DCA-13-001,465912,Niger,56510.1823,NIGER - CFA FRANC,3/31/2017,Agriculture,TILLABERY,Tillaberi,NG09,Niger,AFRICA,,,0,1,11--50
625-DCA-13-001,465905,Niger,104648.4857,NIGER - CFA FRANC,4/14/2017,Agriculture,MARADI,Maradi,NG04,Niger,AFRICA,,,0,0,11--50
625-DCA-13-001,465908,Niger,23022.6669,NIGER - CFA FRANC,4/17/2017,Agriculture,MARADI,Maradi,NG04,Niger,AFRICA,,,0,1,6--10
625-DCA-13-001,465907,Niger,27208.6063,NIGER - CFA FRANC,5/16/2017,Agriculture,ZINDER,Zinder,NG07,Niger,AFRICA,,,0,0,6--10
625-DCA-13-001,506716,Niger,20929.6971,NIGER - CFA FRANC,5/31/2017,Agriculture,Tillabery,,,,,,,1,0,6--10
625-DCA-13-001,465906,Niger,31394.5457,NIGER - CFA FRANC,9/4/2014,Agriculture,MARADI,Maradi,NG04,Niger,AFRICA,,,0,0,N/A
522-DCA-2003-003,189124,Honduras,1324.8543,HONDURAS - LEMPIRA,10/18/2006,Agriculture,Departamento de Olancho,Olancho,HO15,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,189266,Honduras,2649.7085,HONDURAS - LEMPIRA,9/21/2006,Agriculture,Danli,El Paraiso,HO07,Honduras,LATIN AMERICA & THE CARIBBEAN,14,-86.25,0,0,
522-DCA-2003-003,193145,Honduras,794.9126,HONDURAS - LEMPIRA,10/27/2006,Agriculture,Honduras,Intibuca,HO10,Honduras,LATIN AMERICA & THE CARIBBEAN,14.633333,-88.133333,0,0,
522-DCA-2003-003,193924,Honduras,30206.6773,HONDURAS - LEMPIRA,5/16/2006,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,193953,Honduras,2119.7668,HONDURAS - LEMPIRA,12/1/2006,Agriculture,Departamento de Olancho,Olancho,HO15,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,193954,Honduras,7949.1256,HONDURAS - LEMPIRA,6/5/2008,Agriculture,Comayaguela,Olancho,HO15,Honduras,LATIN AMERICA & THE CARIBBEAN,15.1,-86.5,0,0,
522-DCA-2003-003,193973,Honduras,10598.8341,HONDURAS - LEMPIRA,12/13/2006,Agriculture,Departamento de Olancho,Olancho,HO15,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,195981,Honduras,22559.3668,HONDURAS - LEMPIRA,7/6/2006,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,195980,Honduras,30079.1557,HONDURAS - LEMPIRA,7/6/2006,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,196098,Honduras,11029.0237,HONDURAS - LEMPIRA,7/27/2006,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,196216,Honduras,63324.5383,HONDURAS - LEMPIRA,8/17/2006,Agriculture,San Pedro Sula,Cortes,HO06,Honduras,LATIN AMERICA & THE CARIBBEAN,15.5,-88,0,0,
522-DCA-2003-003,196196,Honduras,30079.1557,HONDURAS - LEMPIRA,9/6/2006,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,196557,Honduras,7915.5673,HONDURAS - LEMPIRA,9/6/2006,Agriculture,Departamento de Yoro,Yoro,HO18,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,196559,Honduras,30079.1557,HONDURAS - LEMPIRA,9/6/2006,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,196558,Honduras,30079.1557,HONDURAS - LEMPIRA,9/10/2006,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,196556,Honduras,30079.1557,HONDURAS - LEMPIRA,9/13/2006,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,197134,Honduras,30079.1557,HONDURAS - LEMPIRA,9/30/2006,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,197132,Honduras,30079.1557,HONDURAS - LEMPIRA,10/3/2006,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,197133,Honduras,2638.5224,HONDURAS - LEMPIRA,4/7/2006,Agriculture,Departamento de Olancho,Olancho,HO15,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,197131,Honduras,30079.1557,HONDURAS - LEMPIRA,10/18/2006,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,233751,Honduras,1055.409,HONDURAS - LEMPIRA,8/7/2007,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,233752,Honduras,10554.0897,HONDURAS - LEMPIRA,8/16/2009,Agriculture,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,0,0,
522-DCA-2003-003,233789,Honduras,30079.1557,HONDURAS - LEMPIRA,4/5/2007,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,233790,Honduras,21372.0317,HONDURAS - LEMPIRA,4/5/2007,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,234042,Honduras,15831.1346,HONDURAS - LEMPIRA,4/28/2007,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,234041,Honduras,30079.1557,HONDURAS - LEMPIRA,4/28/2007,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,242999,Honduras,30079.1557,HONDURAS - LEMPIRA,8/11/2007,,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,242998,Honduras,26385.2243,HONDURAS - LEMPIRA,1/4/2009,,Trinidad,Santa Barbara,HO16,Honduras,LATIN AMERICA & THE CARIBBEAN,15.133333,-88.233333,0,0,
522-DCA-2003-003,242994,Honduras,26385.2243,HONDURAS - LEMPIRA,1/19/2010,,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,0,0,
522-DCA-2003-003,242996,Honduras,40105.5409,HONDURAS - LEMPIRA,1/23/2010,,Francisco Morazan,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,242997,Honduras,20052.7704,HONDURAS - LEMPIRA,7/24/2007,,Departamento de Yoro,Yoro,HO18,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,242993,Honduras,2638.5224,HONDURAS - LEMPIRA,7/25/2007,,,,,,,,,0,0,
522-DCA-2003-003,242995,Honduras,30079.1557,HONDURAS - LEMPIRA,8/30/2007,Agriculture,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,243741,Honduras,8812.6649,HONDURAS - LEMPIRA,2/5/2009,,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,243765,Honduras,10554.0897,HONDURAS - LEMPIRA,2/28/2010,,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,0,0,
522-DCA-2003-003,243763,Honduras,20052.7704,HONDURAS - LEMPIRA,10/1/2007,,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,243764,Honduras,20052.7704,HONDURAS - LEMPIRA,10/7/2007,,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,252938,Honduras,19313.9842,HONDURAS - LEMPIRA,11/24/2007,,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,252937,Honduras,20052.7704,HONDURAS - LEMPIRA,12/2/2007,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,252936,Honduras,20052.7704,HONDURAS - LEMPIRA,12/2/2007,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,252940,Honduras,7915.5673,HONDURAS - LEMPIRA,4/30/2010,,Comayaguela,Olancho,HO15,Honduras,LATIN AMERICA & THE CARIBBEAN,15.1,-86.5,0,0,
522-DCA-2003-003,252939,Honduras,13192.6121,HONDURAS - LEMPIRA,5/5/2009,,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,0,0,
522-DCA-2003-003,253065,Honduras,21108.1794,HONDURAS - LEMPIRA,11/23/2007,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253067,Honduras,25013.1926,HONDURAS - LEMPIRA,12/29/2007,,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253066,Honduras,18469.657,HONDURAS - LEMPIRA,1/1/2008,,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253069,Honduras,10026.3852,HONDURAS - LEMPIRA,1/18/2008,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253123,Honduras,21108.1794,HONDURAS - LEMPIRA,2/9/2008,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253124,Honduras,40105.5409,HONDURAS - LEMPIRA,2/10/2008,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253294,Honduras,30079.1557,HONDURAS - LEMPIRA,3/23/2008,,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253293,Honduras,10026.3852,HONDURAS - LEMPIRA,2/29/2008,,Danli,El Paraiso,HO07,Honduras,LATIN AMERICA & THE CARIBBEAN,14,-86.25,0,0,
522-DCA-2003-003,253292,Honduras,20052.7704,HONDURAS - LEMPIRA,2/29/2008,,Departamento de El Paraiso,El Paraiso,HO07,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253291,Honduras,10026.3852,HONDURAS - LEMPIRA,3/4/2008,,Danli,El Paraiso,HO07,Honduras,LATIN AMERICA & THE CARIBBEAN,14,-86.25,0,0,
522-DCA-2003-003,253290,Honduras,20052.7704,HONDURAS - LEMPIRA,3/5/2008,,Departamento de El Paraiso,El Paraiso,HO07,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253326,Honduras,30079.1557,HONDURAS - LEMPIRA,4/18/2008,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,253325,Honduras,30079.1557,HONDURAS - LEMPIRA,4/18/2008,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,
522-DCA-2003-003,264333,Honduras,10554.0897,HONDURAS - LEMPIRA,4/15/2010,,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,0,0,
522-DCA-2003-003,271452,Honduras,50131.9261,HONDURAS - LEMPIRA,2/10/2009,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,N/A
522-DCA-2003-003,271446,Honduras,6860.1583,HONDURAS - LEMPIRA,7/13/2011,,,,,,,,,0,0,N/A
522-DCA-2003-003,271451,Honduras,13192.6121,HONDURAS - LEMPIRA,7/15/2010,,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,0,0,N/A
522-DCA-2003-003,271483,Honduras,11451.1873,HONDURAS - LEMPIRA,7/16/2011,,San Pedro Sula,Cortes,HO06,Honduras,LATIN AMERICA & THE CARIBBEAN,15.5,-88,0,0,
522-DCA-2003-003,271484,Honduras,10817.942,HONDURAS - LEMPIRA,7/16/2011,,Sula,Santa Barbara,HO16,Honduras,LATIN AMERICA & THE CARIBBEAN,15.25,-88.566667,0,0,
522-DCA-2003-003,271482,Honduras,11451.1873,HONDURAS - LEMPIRA,7/30/2011,,Sula,Santa Barbara,HO16,Honduras,LATIN AMERICA & THE CARIBBEAN,15.25,-88.566667,0,0,
522-DCA-2003-003,271447,Honduras,5277.0449,HONDURAS - LEMPIRA,7/25/2009,,Departamento de Choluteca,Choluteca,HO02,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,N/A
522-DCA-2003-003,271449,Honduras,1846.9657,HONDURAS - LEMPIRA,7/26/2009,,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,N/A
522-DCA-2003-003,271448,Honduras,4485.4881,HONDURAS - LEMPIRA,7/30/2011,,Departamento de Choluteca,Choluteca,HO02,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,N/A
522-DCA-2003-003,271450,Honduras,20052.7704,HONDURAS - LEMPIRA,3/1/2009,,Departamento de El Paraiso,El Paraiso,HO07,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,N/A
522-DCA-2003-003,271579,Honduras,3957.7836,HONDURAS - LEMPIRA,2/26/2009,Agriculture,Departamento de Choluteca,Choluteca,HO02,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,1,1--5
522-DCA-2003-003,271582,Honduras,23430.0792,HONDURAS - LEMPIRA,3/26/2009,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,6--10
522-DCA-2003-003,271580,Honduras,15936.6755,HONDURAS - LEMPIRA,3/27/2009,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,1--5
522-DCA-2003-003,271581,Honduras,3588.3905,HONDURAS - LEMPIRA,8/28/2011,Other Service,Departamento de Olancho,Olancho,HO15,Honduras,LATIN AMERICA & THE CARIBBEAN,,,1,0,6--10
522-DCA-2003-003,271578,Honduras,2110.8179,HONDURAS - LEMPIRA,3/24/2011,Agriculture,Departamento de Choluteca,Choluteca,HO02,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,0,1--5
522-DCA-2003-003,276003,Honduras,4408.971,HONDURAS - LEMPIRA,12/8/2010,Other Service,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,1,0,1--5
522-DCA-2003-003,276004,Honduras,4562.0053,HONDURAS - LEMPIRA,12/9/2010,Other Service,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,1,0,1--5
522-DCA-2003-003,278010,Honduras,6613.7566,HONDURAS - LEMPIRA,4/4/2010,Agriculture,Departamento de Comayagua,Comayagua,HO04,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,1,6--10
522-DCA-2003-003,278011,Honduras,7936.5079,HONDURAS - LEMPIRA,1/28/2009,Agriculture,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,1,1,6--10
522-DCA-2003-003,285843,Honduras,4338.6243,HONDURAS - LEMPIRA,4/15/2011,Other Service,Departmento de La Paz,La Paz,HO12,Honduras,LATIN AMERICA & THE CARIBBEAN,,,0,1,6--10
522-DCA-2003-003,286996,Honduras,26455.0265,HONDURAS - LEMPIRA,11/27/2010,Manufacturing,Tegucigalpa,Francisco Morazan,HO08,Honduras,LATIN AMERICA & THE CARIBBEAN,14.25,-87.166667,0,1,11--50
663-DCA-04-001,187664,Ethiopia,346820.8092,ETHIOPIA - BIRR,7/2/2005,Trade/Commerce,,,,,,,,0,0,
663-DCA-04-001,187665,Ethiopia,138728.3237,ETHIOPIA - BIRR,7/28/2007,Trade/Commerce,,,,,,,,0,0,
663-DCA-04-001,197051,Ethiopia,80738.1776,ETHIOPIA - BIRR,10/18/2006,Trade/Commerce,Addis Ababa,Adis Abeba,ET44,Ethiopia,AFRICA,9.024325,38.749226,0,0,
663-DCA-04-001,197053,Ethiopia,107120.7151,ETHIOPIA - BIRR,10/25/2006,Trade/Commerce,"Southern Nations, Nationalities and Peoples Region",Ye Debub Biheroch Bihereseboch na Hizboch,ET54,Ethiopia,AFRICA,,,0,0,
663-DCA-04-001,197052,Ethiopia,33594.3945,ETHIOPIA - BIRR,10/25/2007,Trade/Commerce,"Southern Nations, Nationalities and Peoples Region",Ye Debub Biheroch Bihereseboch na Hizboch,ET54,Ethiopia,AFRICA,,,0,0,
663-DCA-04-001,197054,Ethiopia,80738.1776,ETHIOPIA - BIRR,11/5/2010,Trade/Commerce,Mojjo,Oromiya,ET51,Ethiopia,AFRICA,8.6,39.116667,0,0,N/A
663-DCA-04-001,196835,Ethiopia,749711.6494,ETHIOPIA - BIRR,11/25/2006,Trade/Commerce,Addis Ababa,Adis Abeba,ET44,Ethiopia,AFRICA,9.024325,38.749226,0,0,
663-DCA-04-001,196836,Ethiopia,346020.7612,ETHIOPIA - BIRR,11/27/2006,Trade/Commerce,Addis Ababa,Adis Abeba,ET44,Ethiopia,AFRICA,9.024325,38.749226,0,0,
663-DCA-04-001,196837,Ethiopia,13840.8304,ETHIOPIA - BIRR,11/29/2007,Trade/Commerce,Sululta,Oromiya,ET51,Ethiopia,AFRICA,9.183333,38.75,0,0,
663-DCA-04-001,196838,Ethiopia,57670.1269,ETHIOPIA - BIRR,6/30/2006,Trade/Commerce,Addis Ababa,Adis Abeba,ET44,Ethiopia,AFRICA,9.024325,38.749226,0,0,
663-DCA-04-001,196839,Ethiopia,173010.3806,ETHIOPIA - BIRR,12/16/2008,Trade/Commerce,Tulu,Oromiya,ET51,Ethiopia,AFRICA,8.666667,38.383333,0,0,
663-DCA-04-001,196840,Ethiopia,115340.2537,ETHIOPIA - BIRR,6/16/2007,Trade/Commerce,Tulu,Oromiya,ET51,Ethiopia,AFRICA,8.666667,38.383333,0,0,
663-DCA-04-001,196842,Ethiopia,230680.5075,ETHIOPIA - BIRR,12/19/2010,Trade/Commerce,,,,,,,,0,0,
663-DCA-04-001,196841,Ethiopia,6920.4152,ETHIOPIA - BIRR,12/19/2008,Trade/Commerce,Sululta,Oromiya,ET51,Ethiopia,AFRICA,9.183333,38.75,0,0,
663-DCA-04-001,196854,Ethiopia,288350.6344,ETHIOPIA - BIRR,12/21/2006,Trade/Commerce,,,,,,,,0,0,
663-DCA-04-001,196843,Ethiopia,634371.3956,ETHIOPIA - BIRR,6/20/2007,Trade/Commerce,Addis Ababa,Adis Abeba,ET44,Ethiopia,AFRICA,9.024325,38.749226,0,0,
663-DCA-04-001,196844,Ethiopia,34558.2306,ETHIOPIA - BIRR,1/24/2007,Trade/Commerce,,,,,,,,0,0,
663-DCA-04-001,196845,Ethiopia,29950.4665,ETHIOPIA - BIRR,1/27/2009,Trade/Commerce,Sululta,Oromiya,ET51,Ethiopia,AFRICA,9.183333,38.75,0,0,
663-DCA-04-001,196852,Ethiopia,57597.051,ETHIOPIA - BIRR,6/30/2006,Trade/Commerce,,,,,,,,0,0,
663-DCA-04-001,196834,Ethiopia,575970.5103,ETHIOPIA - BIRR,1/28/2007,Trade/Commerce,Ye Debub Biheroch Bihereseboch na Hizboch,Ye Debub Biheroch Bihereseboch na Hizboch,ET54,Ethiopia,AFRICA,,,0,0,
663-DCA-04-001,196846,Ethiopia,28798.5255,ETHIOPIA - BIRR,2/3/2010,Trade/Commerce,Adama,Oromiya,ET51,Ethiopia,AFRICA,8.55,39.266667,0,0,
663-DCA-04-001,196853,Ethiopia,172791.1531,ETHIOPIA - BIRR,2/8/2007,Trade/Commerce,Jimma,Ye Debub Biheroch Bihereseboch na Hizboch,ET54,Ethiopia,AFRICA,,,0,0,
663-DCA-04-001,196848,Ethiopia,57597.051,ETHIOPIA - BIRR,2/22/2010,Trade/Commerce,Borena,Amara,ET46,Ethiopia,AFRICA,10.75,38.766667,0,0,N/A
663-DCA-04-001,196849,Ethiopia,92155.2816,ETHIOPIA - BIRR,8/14/2007,Trade/Commerce,Bishoftu,Oromiya,ET51,Ethiopia,AFRICA,8.75,38.983333,0,0,
663-DCA-04-001,196850,Ethiopia,46077.6408,ETHIOPIA - BIRR,2/17/2008,Trade/Commerce,Mojo,Oromiya,ET51,Ethiopia,AFRICA,8.6,39.116667,0,0,
663-DCA-04-001,196851,Ethiopia,230388.2041,ETHIOPIA - BIRR,3/12/2007,Trade/Commerce,,,,,,,,0,0,
663-DCA-04-001,234187,Ethiopia,17279.1153,ETHIOPIA - BIRR,5/26/2007,Trade/Commerce,Adama,Oromiya,ET51,Ethiopia,AFRICA,8.55,39.266667,0,0,
663-DCA-04-001,234186,Ethiopia,69116.4612,ETHIOPIA - BIRR,5/26/2009,Trade/Commerce,Adama,Oromiya,ET51,Ethiopia,AFRICA,8.55,39.266667,0,0,
663-DCA-04-001,234183,Ethiopia,74876.1663,ETHIOPIA - BIRR,6/14/2010,Trade/Commerce,Bale,Sumale,ET52,Ethiopia,AFRICA,,,0,0,
663-DCA-04-001,234182,Ethiopia,28798.5255,ETHIOPIA - BIRR,6/14/2007,Trade/Commerce,Bale,Sumale,ET52,Ethiopia,AFRICA,,,0,0,
663-DCA-04-001,234184,Ethiopia,230149.5972,ETHIOPIA - BIRR,3/17/2008,Trade/Commerce,Adama,Oromiya,ET51,Ethiopia,AFRICA,8.55,39.266667,0,0,
663-DCA-04-001,234185,Ethiopia,690448.7917,ETHIOPIA - BIRR,3/22/2008,Trade/Commerce,Awassa,Ye Debub Biheroch Bihereseboch na Hizboch,ET54,Ethiopia,AFRICA,7.05,38.466667,0,0,
663-DCA-04-001,244764,Ethiopia,40229.8851,ETHIOPIA - BIRR,10/3/2009,Trade/Commerce,Ziway,Oromiya,ET51,Ethiopia,AFRICA,7.933333,38.716667,0,0,
663-DCA-04-001,242887,Ethiopia,103448.2759,ETHIOPIA - BIRR,10/15/2007,Trade/Commerce,Orom?ya,Oromiya,ET51,Ethiopia,AFRICA,,,0,0,
663-DCA-04-001,244766,Ethiopia,287356.3218,ETHIOPIA - BIRR,4/17/2008,Trade/Commerce,Awassa,Ye Debub Biheroch Bihereseboch na Hizboch,ET54,Ethiopia,AFRICA,7.05,38.466667,0,0,
